ID,시설명,카테고리,위도,경도,주소,도시,구/군,전화번호,평점
1,서울 중앙동물병원,동물병원,37.5665,126.9780,서울시 중구 세종대로 110,서울,중구,02-1234-5678,4.5
2,강남 애견카페 멍멍,애견카페,37.4979,127.0276,서울시 강남구 강남대로 123,서울,강남구,02-2345-6789,4.7
3,홍대 펫프렌즈 식당,애견식당,37.5563,126.9245,서울시 마포구 홍익로 94,서울,마포구,02-3456-7890,4.3
4,한강 애견놀이터,애견놀이터,37.5219,127.0411,서울시 강남구 압구정로 123,서울,강남구,02-4567-8901,4.8
5,신사동 강아지미용실,미용실,37.5240,127.0202,서울시 강남구 논현로 456,서울,강남구,02-5678-9012,4.6
6,이태원 반려동물클리닉,동물병원,37.5346,126.9946,서울시 용산구 이태원로 123,서울,용산구,02-6789-0123,4.4
7,잠실 애견카페 도그파크,애견카페,37.5133,127.1028,서울시 송파구 올림픽로 240,서울,송파구,02-7890-1234,4.5
8,해운대 동물병원,동물병원,35.1631,129.1639,부산시 해운대구 해운대해변로 264,부산,해운대구,051-1234-5678,4.4
9,광안리 애견카페 바다,애견카페,35.1532,129.1184,부산시 수영구 광안해변로 200,부산,수영구,051-2345-6789,4.5
10,센텀 애견호텔,애견호텔,35.1689,129.1311,부산시 해운대구 센텀중앙로 78,부산,해운대구,051-3456-7890,4.7
11,서면 반려동물병원,동물병원,35.1580,129.0595,부산시 부산진구 중앙대로 123,부산,부산진구,051-4567-8901,4.3
12,송도 반려동물병원,동물병원,37.3894,126.6506,인천시 연수구 센트럴로 123,인천,연수구,032-1234-5678,4.6
13,월미도 애견놀이터,애견놀이터,37.4769,126.5933,인천시 중구 월미문화로 36,인천,중구,032-2345-6789,4.4
14,부평 애견카페,애견카페,37.5070,126.7225,인천시 부평구 부평대로 123,인천,부평구,032-3456-7890,4.2
15,동성로 동물병원,동물병원,35.8686,128.5936,대구시 중구 동성로2가 123,대구,중구,053-1234-5678,4.5
16,수성못 애견카페,애견카페,35.8254,128.6301,대구시 수성구 두산동 123,대구,수성구,053-2345-6789,4.6
17,범어 애견미용실,미용실,35.8589,128.6311,대구시 수성구 범어동 456,대구,수성구,053-3456-7890,4.4
18,둔산동 반려동물클리닉,동물병원,36.3504,127.3845,대전시 서구 둔산로 123,대전,서구,042-1234-5678,4.4
19,유성 애견훈련소,훈련소,36.3621,127.3560,대전시 유성구 봉명동 456,대전,유성구,042-2345-6789,4.7
20,은행동 애견카페,애견카페,36.3277,127.4253,대전시 중구 은행동 789,대전,중구,042-3456-7890,4.3
21,상무지구 동물병원,동물병원,35.1520,126.8897,광주시 서구 상무중앙로 123,광주,서구,062-1234-5678,4.5
22,첨단 애견미용실,미용실,35.2260,126.8443,광주시 광산구 첨단중앙로 123,광주,광산구,062-2345-6789,4.6
23,충장로 애견식당,애견식당,35.1471,126.9178,광주시 동구 충장로 456,광주,동구,062-3456-7890,4.2
24,울산 중앙동물병원,동물병원,35.5384,129.3114,울산시 남구 삼산로 123,울산,남구,052-1234-5678,4.4
25,태화강 애견놀이터,애견놀이터,35.5461,129.3322,울산시 중구 태화동 456,울산,중구,052-2345-6789,4.7
